Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type,Release Year,Source
Blue Charge (UK),8.46,49.0,80.0,9.5,Energy Drink,,
Blue Spark (UK),8.46,56.0,75.0,8.9,Energy Drink,,
Bodyarmour Edge,20.0,180.0,100.0,5.0,Energy Drink,2021.0,https://www.bevindustry.com/articles/93855-bodyarmor-releases-caffeinated-sports-drink
Bomb Energy Drink,8.46,0.0,80.0,9.5,Energy Drink,2009.0,https://www.prnewswire.com/news-releases/canadian-energy-drink-companys-growth-on-fire-no-dragons-required-516524491.html
Bomba (EU),8.4,123.0,80.0,9.5,Energy Drink,1994.0,https://issuu.com/bombaenergy0/docs/bomba_energy_drink_evaluation_criti
Boost Energy (UK),8.46,58.0,80.0,9.5,Energy Drink,2001.0,"https://www.boostdrinks.com/about-boost/#:~:text=We%20were%20founded%20in%202001,and%20iced%20coffee%20you%20know!"
BreinFuel,12.0,60.0,360.0,30.0,Energy Drink,2020.0,https://www.prnewswire.com/news-releases/launch-of-breinfuel-ignites-functional-beverage-category-with-high-performance-nootropic-beverage-301193860.html
Bucked Up,16.0,0.0,300.0,18.8,Energy Drink,2019.0,https://voyageutah.com/interview/meet-ryan-gardner-of-bucked-up/
Burn Energy Drink,12.0,163.0,112.0,9.3,Energy Drink,2002.0,"https://www.bevnet.com/news/2009/1-15-2009-burn_for_sale/#:~:text=BURN%2C%20launched%20in%20February%202002,brands%20and%20actually%20tasting%20great."
C4 On The Go,12.0,0.0,200.0,16.7,Energy Drink,2018.0,https://reizeclub.com/is-c4-energy-drink-bad-for-you/
C4 Performance Energy,16.0,0.0,200.0,12.5,Energy Drink,,
C4 Smart Energy Drink,16.0,0.0,200.0,12.5,Energy Drink,2020.0,https://www.prnewswire.com/news-releases/new-c4-smart-energy-unlocks-superbrain-performance-300999787.html
C4 Ultimate Energy Drink,16.0,0.0,300.0,18.8,Energy Drink,2018.0,https://www.stack3d.com/2018/05/c4-ultimate-energy-drink.html
Carabao Energy Drink (UK),11.16,63.0,106.0,9.5,Energy Drink,2002.0,https://www.asianfoodlovers.com/en/energy-drink-150-ml-462
Celsius Energy Drink,12.0,10.0,200.0,16.7,Energy Drink,2009.0,"https://celsiussverige.se/about-celsius/?lang=en#:~:text=CELSIUS%20is%20the%20original%20functional,functional%20drinks%20and%20energy%20drinks."
Celsius Stevia,12.0,15.0,200.0,16.7,Energy Drink,,
Cintron Energy Drink,8.4,60.0,85.0,10.1,Energy Drink,2010.0,http://www.times.co.sz/entertainment/22474-cintron-energy-drink-planning-to-bring-akon.html
Club Mate (EU),16.91,160.0,100.0,5.9,Energy Drink,1994.0,https://www.kqed.org/bayareabites/105046/your-new-favorite-energy-drink-an-exclusive-club-mate-comes-to-sf
